name,age,gamertag,team
Liam Harris,21,ShadowStrike,G2
Emma Walker,22,LunaByte,G2
Noah Martin,23,Sn1p3rWolf,G2
Olivia Allen,24,PixelQueen,G2
Elijah Scott,25,BlitzRider,G2
Ava Baker,20,CodeMyst,G2
James Adams,23,RogueNova,Team Liquid
Sophia Nelson,24,NightBloom,Team Liquid
Benjamin Hall,22,TwitchReign,Team Liquid
Mia Carter,21,StormHex,Team Liquid
Lucas Mitchell,26,PhantomBlaze,Team Liquid
Amelia Perez,20,ByteSlinger,Team Liquid
Henry Roberts,25,VirusRush,Fnatic
Charlotte Turner,22,CrystalSnare,Fnatic
Alexander Phillips,24,NullFury,Fnatic
Harper Campbell,21,VenomMuse,Fnatic
Daniel Evans,23,GlitchGuard,Fnatic
Ella Parker,20,RadiantZeta,Fnatic
Michael Edwards,26,NovaThorn,Cloud9
Abigail Collins,19,SilentVex,Cloud9
Ethan Stewart,22,PulseKnight,Cloud9
Emily Sanchez,20,AetherShock,Cloud9
Matthew Morris,25,NeonDagger,Cloud9
Isabella Rogers,23,HoloSpark,Cloud9
Joseph Reed,24,FireWarden,NAVI
Grace Cook,21,StarFable,NAVI
David Morgan,27,HexMancer,NAVI
Lily Bell,20,QuasarEcho,NAVI
Samuel Murphy,22,ZeroDrift,NAVI
Chloe Bailey,19,DarkHalo,NAVI
Owen Foster,21,FrostSnare,FaZe
Natalie Ross,22,CrimsonByte,FaZe
Leo Brooks,23,NightCrawler,FaZe
Zoe Hayes,24,StaticWhisper,FaZe
Jack Kelly,25,HavocMuse,FaZe
Nora Price,20,QuantumJade,FaZe
